90 2398
value,weight
57,52
86,92
23,76
42,84
7,63
96,31
8,57
48,97
69,41
66,34
18,62
81,32
58,92
22,48
22,84
28,62
63,40
5,6
1,13
45,69
69,47
17,83
42,43
66,98
94,59
75,84
81,56
52,39
28,43
33,10
87,53
93,90
51,64
16,37
7,85
12,7
31,44
55,78
42,52
13,17
94,24
59,52
82,75
49,72
84,88
29,23
54,45
38,50
13,46
32,2
95,94
83,32
74,27
35,71
51,7
73,69
34,2
87,73
98,37
19,9
16,47
71,76
82,36
51,26
37,92
82,9
14,74
44,56
28,85
15,5
43,24
79,58
66,40
70,5
98,70
55,91
80,41
47,96
50,16
89,99
55,86
96,87
100,60
65,95
43,61
30,58
28,81
68,67
37,14
44,19
