85 1939
value,weight
70,25
34,8
19,84
96,18
87,10
92,72
31,8
64,21
46,48
95,18
69,51
30,94
10,98
3,8
9,100
28,11
91,48
66,82
3,6
85,17
12,21
90,91
60,84
8,20
90,20
25,41
51,94
31,92
1,50
31,91
95,36
96,90
8,95
43,12
1,1
11,85
22,76
13,4
80,46
2,57
77,2
69,75
74,51
97,8
63,38
28,48
51,22
57,15
83,3
83,84
72,22
39,98
40,84
80,22
23,15
97,60
6,4
6,90
38,21
86,93
18,77
79,85
45,75
52,13
54,99
9,72
57,37
66,23
88,2
99,26
80,68
17,10
13,31
84,54
9,93
26,31
43,23
9,9
30,3
99,15
24,36
41,28
45,60
46,26
39,94
